,COMPANY NAME,CONTACT NAME,EMAIL ADDRESS,CELL NUMBER,STREET ADDRESS,CITY ,PROVINCE,POSTAL CODE ,SUPPLY
,BECK BINDERY,JOHN / PAT,quotes@beckbindery.ca,705-653-3086,16 Trent Drive ,Campbelford,ON,K0L 1L0,Case Binding
,MARWOOD BOOKWORKS,CHRIS KOTT,info@mbeasy.ca,905-501-7781,240 Brunel Rd,Mississauga,ON,L4Z 1T5,Case Binding
,SRD STEEL RULE DIES INC.,JAVID,design@srdltd.ca,905-470-0565,20 Ambler St. Unit #207,Markham,ON,L3R 5P4,Die Maker
,D.C.D & TOOLING INC. ,FLAKIM,design@dcdtooling.com,416-289-4400,921 Progress Ave. Unit #22,Scarborough,ON,M1G 3V4,Die Maker
,KDS GRAPHICS,DAVID SAVAGE,sales@kdsgraphics.com,416-752-0450,140 Midwest Rd.,Scarborough,ON,M1P 3A9,Die Maker
,ACCUTEC,KAL PATEL,kal@accutecgroup.com,905-761-8685 ext 11,161 Connie Crescent Units 8-12,Concord,ON,L4K 1L3,Die Maker
,ODC TOOLING,,odctooling.com (website),519-576-8950,110 Randall Dr.,Waterloo,ON,N2V 1C6,PMC Die Maker
,SUPREMEX,AMANDA ROMAULDI,Amanda.Romualdi@supremex.com,416-848-8382,400 Humberline Drive,Etobicoke,ON,M9W 5T3,Envelope Converting
,RYSWIN GRAPHIX,MARK RISELEEY,ryswingraphix@bellnet.ca,416-297-5254,370 Tapscott Rd. ,Toronto,ON,M1B 3C4,Envelope Printing
,ALL STAR ENVELOPES ,,sales@allstarenv.com,905-850-5191,180 Trowers Rd.,Woodbridge,ON,L4L 8A6,Envelope Printing
,HIGH PRINT COMPANY,ALEX JAVADI,alex@highprint.ca,905-709-9722 ext 228,250 West Beaver Creek Rd #4,Richmond Hill,ON,L4B 1C7,Labels
,SUN LABELS & SYSTEMS INC.,PALOMA SCREWVALA,orders@sunlabels.ca,905-678-7741,7480 Kimbel St. Unit 1,Mississauga,ON,L5S 1A5,Labels
,LOWE LABEL LTD.,BARRY LOWE,barry@lowelabel.com,905-731-3442,20 Mural St.,Richmond Hill,ON,L4B 1K3,Labels
,LAMINATING CHOICE CANADA,IAN,estimating@laminatingchoice.com,647-346-4335,"777 The Queensway, Unit D",Toronto,ON,M8Z 1N4,Laminating / Coating
,COATINGS CANADA,,customercare@coatingscanada.com,416-496-2001,3490 Pharmacy Ave. ,Scarborough,ON,M1W 2S7,Laminating / Coating
,GROVETREE PRESS,MIKE HEGGIE,quotes@grovetreepress.com,416-745-9000,676 Garyray Dr.,Toronto,ON,M9L 1R3,Laminating / Coating
,LAMIN-8 SERVICES INC., ,info@lamin-8.ca,416-977-4422,763 Warden Ave. #1A,Scarborough,ON,M1L 4B7,Laminating / Coating
,SL GRAPHICS & PRINTING INC.,,info@printmycard.ca,416-531-4377,1246 Bloor St. West,Toronto,ON,M6H 1N5,Latex Coating
,TRADE GRAPHICS BY DESIGN,TRYG SMITH,tryg@bydesigngraphics.com,905-299-1795,435 Four Valley Dr. ,Concord,ON,L4K 5X5,Latex Coating
,TORPEDO MARKETING,SUSAN ROBINSON,susan@torpedomarketing.ca,905-795-0930 ext 222,2-67 Rainbow Creek Drive,Vaughan,ON,L4H 0A6,Mailing
,ADMAIL MAILING SERVICES,DAFNI SILVERMAN,dafni@adworksmailing.com,905-624-2246,2283 Anson Dr. ,Mississauga,ON,L5S 1G6,Mailing
,ADDRESS ALL MAILING SERVICES,OLGA ,ÿinfo@addressall.comÿ,905-625-5137,5696  Ambler Dr.,Mississauga,ON,L4W 2K9,Mailing
,CANADIAN PRINTING RESOURCES,,sales@canadianprintingresources.com,416-740-3388,230 Eddystone Ave.,North York,ON,M3N 1H7,MICR Printing
,ARIVA PAPER,TERRY ALEXIS,Terry.Ale+C6+C2:C26+C2:C+C2:C41,,1330 Courtney Park Drive East,Mississauga,ON,L5T 1K5,Paper
,SPICERS PAPER,ANGELA ALBERICO,MillSales.Toronto@spicers.ca,906-265-6000,200 Galcat Drive,Vaughan,ON,L4L 0B9,Paper
,IMPERIAL DADE PAPER,,,800-387-3871,125 Madill Blvd,Mississauga,ON,L5W 0H1,Paper
,SNZ PAPER,ALI SHEIK,orders@snzpaper.com,905-370-1197,61 Rayette Road,Concord,ON,L4K 2E8,Paper
,ROOSEVELT PAPER,MARYKAY LEISTER,MLeister@rooseveltpaper.com,,,,,,Paper
,PAPER 4 U ,DANNY CHUGH,,416-272-9291,913 Brock Rd. ,Pickering,ON,L1W 2X9,Paper
,REYNOLDS PAPER,BRAD REYNOLDS,bradreynolds@reynoldspaper.com,905-272-15580,3536 Erindale Station Rd.,Mississauga,ON,L5C 2T1,Paper
,ASIA PULP & PAPER CANADA LTD. ,,app_callcenter@app.co.id,905-450-2100,2360 Tedlo St.,Mississauga,ON,L5A 3V3,Paper
,ND PAPER,REED PERRY,,1-443-924-0213,"2001 Spring Road, Suite 500",Oak Brook,IL,60523,Paper
,NORTHAM LOGISTICS,GLEN,dispatch@northamlogistics.ca,905-904-0347,281 The Queensway S.,Keswick,ON,L4P 2R4,Shipping
,PROMPT LOGISTICS,RAFI,rafi@promptlogistics.com,647-786-0276,,,,,Shipping
,LOGISTICS & CUSTOM SERVICES,SIMRAM GILL,simran@lcslogistics.com,416-806-5416,,,,,Shipping
,MGA INTERNATIONAL,GREG / CHRIS / STU,dispatch@mgainternational.com,416-233-0200,279 Norseman St.,Etobicoke,ON,M8Z 2R5,Shipping
,SHIPCARTE,ALI A. PEERA,apeera@shipcarte.com,323-252-2462,1033 Jayson Ct,Mississauga,ON,L4W 2P4,Shipping
,WOODBINE LOGISTICS,JONATHAN ROJAS,dispatch@woodbinelogistics.com,905-535-1600,,,,,Shipping
,TOTAL QUALITY LOGISTICS,JORDAN CRUTCHFIELD,j.crutchfield@tql.com,513-831-2600,,,,,Shipping
,AM TRANSPORT,,,905-624-5728,135 Watline Avenue ,Mississauga,ON,L4Z 1P2,Shipping
,SOUTHWEST BUSINESS PRODUCTS LTD., ,sales@southwestbusiness.ca,416-285-7044,20 Dovedale Court,Scarborough,ON,M1S 5A7,Supplies / Cartons
,ULINE CANADA,,customer.service@uline.ca,1800-295-5510,3333 James Snow Pkwy N,Milton,ON,L9T 8L1,Supplies / Cartons
,BELMONT PRESS,JEFF,jeff@belmontpressltd.com,905-940-4900 ext 111,5 Bodrington Ct.,Markham,ON,L6G 1A6,UV Coating
